size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
185,384,8,16,16,17,33,34,38,51,59,59,59,66,68,84,102,117,130,148,150,164,183,183,184,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201112
178,384,4,16,16,16,33,35,38,57,64,66,68,68,72,92,107,125,141,156,156,160,174,174,174,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201154
202,384,7,16,16,17,30,30,36,50,55,66,74,81,95,98,114,132,145,166,166,184,201,201,201,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201157
326,816,5,16,16,29,44,47,50,66,75,77,78,78,78,102,116,134,148,167,173,175,191,191,210,210,210,212,215,215,215,221,224,225,229,235,242,244,246,248,251,256,260,265,267,267,274,274,285,285,295,302,313,201165
192,384,9,16,16,16,33,33,38,56,64,67,67,73,74,91,107,123,140,156,157,172,190,190,190,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201169
190,384,1,16,16,18,35,35,38,52,61,62,62,69,71,90,106,121,139,154,156,160,177,177,186,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201595
601,816,3,16,16,31,47,47,51,65,68,68,75,81,99,101,117,134,144,165,170,173,189,189,200,200,213,223,239,248,255,268,290,305,325,337,357,371,386,394,406,421,427,431,458,475,491,501,520,534,547,571,587,201606
202,384,7,16,16,17,31,34,36,53,57,63,65,70,90,90,108,122,140,157,157,185,202,202,202,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201610
173,384,2,16,16,17,27,27,34,50,53,59,60,66,87,88,104,121,135,153,153,157,172,172,172,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201646
618,816,3,16,16,27,40,44,44,60,61,69,71,76,97,100,115,131,147,164,165,172,189,189,201,201,211,223,239,245,257,275,288,302,317,337,353,368,380,406,428,446,457,467,472,500,514,524,538,557,571,588,607,201656
178,384,2,16,16,17,32,33,36,50,54,60,64,69,91,92,109,123,138,157,159,160,169,169,169,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201675
178,384,5,16,16,17,31,33,36,51,59,60,60,67,67,88,102,119,136,155,156,159,175,175,177,178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201678
488,816,3,16,16,25,44,44,47,65,68,75,76,82,103,105,118,135,151,173,176,179,193,193,211,211,221,230,247,251,265,282,292,311,322,341,360,367,372,381,392,394,401,403,418,423,430,435,445,454,466,476,477,201685
182,384,7,16,16,17,34,34,36,51,55,62,64,68,91,92,109,125,141,159,163,166,181,181,181,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201689
